name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Cam Schlittler|NYY|SP|1210|8|0|0|403|1283|119|16|12|23|23|17
Kyle Freeland|COL|SP|1600|8|0|0|502|1420|118|25|12|29|29|16
Noah Cameron|KCR|SP|1420|8|0|0|420|1312|120|19|13|26|26|16
Quinn Priester|MIL|SP|1410|9|0|0|412|1314|118|17|12|24|24|16
Bryce Miller|SEA|SP|1410|8|0|0|411|1226|125|20|13|26|26|16
Grant Taylor|CHW|RP|920|5|5|15|347|1209|103|9|1|3|80|16
Seth Lugo|KCR|SP|1600|9|0|0|439|1341|135|23|14|28|28|16
Mike Burrows|HOU|SP|1310|6|0|1|411|1265|129|19|11|24|34|16
Jameson Taillon|CHC|SP|1530|9|0|0|440|1253|119|25|13|28|28|16
Simeon Woods Richardson|MIN|SP|1350|7|0|1|438|1337|122|19|11|24|32|16
Matthew Liberatore|STL|SP|1500|9|0|0|422|1313|125|19|14|28|28|15
Michael McGreevy|STL|SP|1350|8|0|1|399|1275|94|15|11|23|31|15
Roki Sasaki|LAD|RP|1130|7|0|1|416|1287|118|15|8|18|38|15
Max Meyer|MIA|SP|1370|8|0|1|424|1321|123|18|11|24|34|15
Eduardo Rodriguez|ARI|SP|1320|8|0|1|422|1355|118|18|11|23|31|15
Chad Patrick|MIL|SP|1410|8|0|0|442|1276|132|23|12|26|26|15
Davis Martin|CHW|SP|1500|7|0|0|454|1366|117|21|13|28|28|15
Robbie Ray|SFG|SP|1740|10|0|0|412|1298|176|25|16|31|31|15
Bryan Abreu|HOU|RP|680|4|5|13|297|1158|91|6|0|0|68|15
Joey Cantillo|CLE|RP|1440|8|0|1|380|1319|154|18|10|21|54|15
Jared Jones|PIT|SP|1020|6|0|1|394|1274|100|12|9|18|24|15
Zach Eflin|BAL|SP|1470|9|0|1|435|1249|113|23|11|24|34|14
Sean Manaea|NYM|RP|1360|8|0|1|420|1229|140|20|9|21|43|14
Zack Littell|WSN|SP|1510|7|0|0|462|1271|113|26|12|26|26|14
Cade Horton|CHC|SP|1270|8|0|0|412|1252|111|17|12|24|24|14
Aaron Civale|ATH|SP|1300|7|0|0|464|1303|113|21|11|24|24|14
Will Warren|NYY|RP|1320|7|0|1|425|1302|130|18|9|21|43|14
Josh Hader|HOU|RP|610|5|29|3|321|1091|85|8|0|0|61|14
Anthony Kay|CHW|SP|1340|7|0|1|442|1402|110|18|9|21|35|14
Justin Steele|CHC|SP|810|5|0|0|358|1200|76|9|8|15|15|14
David Bednar|NYY|RP|650|5|33|2|324|1123|81|7|0|0|65|13
